brand,model,year,body_type,transmission,fuel_type,kilometers,color,seats,interior,payment_option,area,city,date_posted_category,price
Land Rover,Velar,2025.0,SUV,Automatic,Benzine,115500.0,Gray,4.0,Full Leather,Cash or Installment,Heliopolis,Cairo,Older than a week,5250000
Fiat,128,1978.0,Sedan,Manual,Benzine,99999.0,Green,4.0,Full Leather,Cash,Dekheila,Alexandria,This week,42000
Skoda,Kodiaq,2025.0,4X4,Automatic,Benzine,115500.0,White,5.0,Full Leather,Cash,5th Settlement,New Cairo,This week,3150000
Nissan,Tiida,2013.0,Sedan,Automatic,Benzine,179.0,Gray,4.0,Full Leather,Cash,Nasr City,Cairo,This week,580000
Chevrolet,Optra,2016.0,Sedan,Automatic,Benzine,210000.0,Silver,4.0,Full Leather,Cash,Shubra al-Khaimah,Qalyubia,Older than a week,415000
Opel,Mokka,2026.0,SUV,Automatic,Benzine,115500.0,Gray,5.0,Full Leather,Cash or Installment,New Cairo,Cairo,Less than a day,1510000
Suzuki,Pick up,2021.0,Other,Manual,Benzine,59000.0,Red,5.0,Full Leather,Cash,3rd Settlement,New Cairo,Less than a day,380000
Kia,Spectra,2003.0,Sedan,Manual,Benzine,1.0,Blue- Navy Blue,5.0,Full Leather,Cash,Arbaeen,Suez,Older than a week,235000
Renault,Kadjar,2017.0,Hatchback,Automatic,Natural Gas,110000.0,Gray,5.0,Full Leather,Cash,1st Settlement,New Cairo,This week,875000
Hyundai,Accent,2007.0,Sedan,Manual,Benzine,226000.0,Blue- Navy Blue,5.0,Full Leather,Cash,Maryotaya,Giza,Older than a week,330000
Hyundai,Verna,2011.0,Sedan,Manual,Benzine,270000.0,Gray,5.0,Full Leather,Cash,New Cairo,Cairo,This week,350000
Mazda,3,2005.0,Sedan,Automatic,Benzine,250000.0,Green,5.0,Full Leather,Cash,Haram,Giza,Older than a week,390000
Mercedes-Benz,C180,2024.0,Sedan,Automatic,Benzine,115500.0,Silver,5.0,Full Leather,Cash,5th Settlement,New Cairo,This week,3000000
BMW,X6,2016.0,4X4,Automatic,Benzine,93000.0,White,5.0,Full Leather,Cash,Gladios Garden Compound,6th of October,Less than a day,2875000
Hyundai,Verna,2017.0,Sedan,Manual,Benzine,195000.0,Silver,5.0,Full Leather,Cash,Hadayek al-Kobba,Cairo,Older than a week,400000
Chevrolet,Lanos,2009.0,Other,Manual,Benzine,297.0,White,5.0,Full Leather,Cash,Banha,Qalyubia,Older than a week,300000
Speranza,A113,2008.0,Hatchback,Manual,Benzine,125000.0,Gold,5.0,Full Leather,Cash,4th District,Sheikh Zayed,Older than a week,210000
Chevrolet,Aveo,2008.0,Sedan,Manual,Benzine,235000.0,Silver,5.0,Full Leather,Cash,6th of October,Giza,This week,320000
Chery,Tiggo 7,2022.0,Hatchback,Automatic,Benzine,59000.0,Brown,5.0,Full Leather,Cash,Ismailia City,Ismailia,Older than a week,820000
Skoda,Octavia,2013.0,Sedan,Automatic,Benzine,210000.0,Black,5.0,Cloth,Cash,5th Settlement,New Cairo,Less than a day,690000
Volkswagen,ID6,2024.0,SUV,Automatic,Electric,115500.0,Gray,7.0,Full Leather,Cash,Shorouk City,Cairo,Older than a week,2275000
Hyundai,Verna,2009.0,Sedan,Automatic,Benzine,225000.0,White,4.0,Full Leather,Cash,Hadayek al-Ahram,Giza,Less than a day,290000
Chery,Tiggo,2023.0,Sedan,Automatic,Benzine,43767.0,Gray,5.0,Full Leather,Installments,Ramses + Ramses Extension,Cairo,Older than a week,775000
Mercedes-Benz,E200,2025.0,Sedan,Automatic,Benzine,200.0,Black,5.0,Full Leather,Cash or Installment,Sheikh Zayed,Giza,Older than a week,5700000
Renault,Sandero Stepway,2016.0,Hatchback,Automatic,Benzine,120000.0,Red,5.0,Full Leather,Cash or Installment,Fayoum City,Fayoum,Older than a week,540000
Changan,Benni mini,2013.0,Hatchback,Manual,Benzine,80000.0,Orange,5.0,Full Leather,Cash,Heliopolis,Cairo,Older than a week,249000
Hyundai,Verna,2016.0,Sedan,Manual,Benzine,140000.0,Black,4.0,Full Leather,Cash,5th Settlement,New Cairo,Older than a week,365000
BYD,F3,2019.0,Sedan,Manual,Benzine,202000.0,Burgundy,5.0,Full Leather,Cash,Madinaty,Cairo,Less than a day,450000
Volkswagen,Parati,2005.0,Estate,Manual,Benzine,83180.0,Red,4.0,Velour,Cash,Shubra,Cairo,Older than a week,250000
Daewoo,Lanos,2000.0,Sedan,Manual,Benzine,300000.0,Black,5.0,Full Leather,Cash,Al Hadaba Al Olya,Mokattam,This week,220000
Geely,MK,2010.0,Sedan,Manual,Benzine,15000.0,Black,5.0,Full Leather,Cash,Hadayek al-Ahram,Giza,This week,195000
Chery,Envy,2018.0,Sedan,Manual,Benzine,75000.0,Burgundy,5.0,Full Leather,Cash,Mostakbal City,Cairo,Older than a week,315000
BMW,318,2017.0,Sedan,Automatic,Benzine,150000.0,Silver,5.0,Full Leather,Cash,Obour City,Cairo,Less than a day,1375000
Daewoo,Nubira,2001.0,Convertible,Automatic,Benzine,400000.0,Black,5.0,Full Leather,Cash,Zagazig,Sharqia,Older than a week,300000
Kia,Sportage,2023.0,SUV,Automatic,Benzine,35000.0,Black,5.0,Full Leather,Cash,Sheikh Zayed,Giza,This week,1690000
Geely,Emgrand 7,2015.0,Sedan,Manual,Benzine,330000.0,White,5.0,Full Leather,Cash,Mohandessin,Giza,This week,275000
Chevrolet,Cruze,2010.0,Sedan,Manual,Benzine,256000.0,Black,5.0,Full Leather,Cash,New Nozha,Cairo,Less than a day,400000
Chevrolet,Sonic,2012.0,Sedan,Automatic,Benzine,235000.0,Red,5.0,Full Leather,Cash,Hadayek October,Giza,This week,395000
Volkswagen,Golf,2025.0,Hatchback,Automatic,Benzine,115500.0,Blue- Navy Blue,5.0,Full Leather,Cash or Installment,New Cairo,Cairo,Older than a week,1780000
BMW,I3,2024.0,Sedan,Automatic,Electric,4500.0,White,5.0,Full Leather,Cash,New Cairo,Cairo,This week,2090000
Chery,Tiggo 4,2025.0,Hatchback,Automatic,Benzine,115500.0,Burgundy,5.0,Full Leather,Cash or Installment,Nasr City,Cairo,This week,940000
Opel,Insignia,2020.0,Sedan,Automatic,Benzine,48000.0,White,5.0,Full Leather,Cash,Mahalla al-Kobra,Gharbia,This week,1600000
Toyota,XA,1982.0,Van / Bus,Manual,Diesel,2222.0,White,7.0,Full Leather,Cash,Deyerb Negm,Sharqia,This week,210000
Mercedes-Benz,G63,2023.0,4X4,Automatic,Benzine,20000.0,Black,5.0,Full Leather,Cash or Installment,New Cairo,Cairo,This week,15400000
Chery,Tiggo 7,2024.0,Hatchback,Automatic,Benzine,19000.0,Blue- Navy Blue,5.0,Full Leather,Cash or Installment,Heliopolis,Cairo,Older than a week,920000
Suzuki,Swift,1995.0,Sedan,Manual,Benzine,200000.0,Gray,5.0,Full Leather,Cash,Mansuriyya,Giza,This week,85000
Mercedes-Benz,E200,2021.0,Sedan,Automatic,Benzine,1600.0,Red,5.0,Full Leather,Cash or Installment,5th Settlement,New Cairo,This week,4250000
Renault,Logan,2013.0,Sedan,Automatic,Benzine,188000.0,Gray,5.0,Other,Cash,6th of October,Giza,Older than a week,335000
Renault,Fluence,2017.0,Sedan,Automatic,Benzine,136000.0,Gray,5.0,Full Leather,Cash,Le Jour,Mokattam,Older than a week,610000
Porsche,Macan,2025.0,SUV,Automatic,Benzine,115500.0,White,5.0,Full Leather,Cash,5th Settlement,New Cairo,Less than a day,5030000
Kia,Soul,2013.0,SUV,Automatic,Benzine,100000.0,Black,5.0,Full Leather,Cash or Installment,Smoha,Alexandria,Older than a week,695000
Mercedes-Benz,E200,2023.0,Sports / Coupe,Automatic,Benzine,17000.0,Black,5.0,Full Leather,Cash,New Cairo,Cairo,This week,4250000
Chery,Tiggo,2025.0,SUV,Automatic,Benzine,115500.0,Blue- Navy Blue,5.0,Full Leather,Cash or Installment,Dokki,Giza,This week,1180000
Speranza,Tiggo,2010.0,4X4,Manual,Benzine,110000.0,Black,4.0,Full Leather,Cash,Asafra,Alexandria,Less than a day,350000
Volkswagen,Jetta,2012.0,Sedan,Automatic,Benzine,250000.0,Blue- Navy Blue,5.0,Full Leather,Cash,Mahalla al-Kobra,Gharbia,Less than a day,780000
Peugeot,405,1991.0,Sedan,Manual,Benzine,240000.0,Black,4.0,Full Leather,Cash,Salam City,Cairo,Less than a day,150000
BMW,320,2025.0,Sedan,Automatic,Benzine,5000.0,White,5.0,Full Leather,Cash,Dokki,Giza,Older than a week,3100000
Hyundai,Elantra,2026.0,Sedan,Automatic,Benzine,115500.0,Other Color,5.0,Full Leather,Cash or Installment,Nasr City,Cairo,This week,990000
Xiaomi,YU7,2025.0,SUV,Automatic,Electric,115500.0,Red,5.0,Full Leather,Cash,5th Settlement,New Cairo,This week,2600000
Fiat,128,1985.0,Sedan,Manual,Benzine,10000.0,Red,5.0,Full Leather,Cash,Shorouk City,Cairo,Less than a day,95000
MG,MG 5,2025.0,Sedan,Automatic,Benzine,115500.0,Black,5.0,Full Leather,Cash or Installment,Heliopolis,Cairo,Less than a day,990000
Mitsubishi,Lancer,2006.0,Sedan,Manual,Benzine,225000.0,Silver,5.0,Full Leather,Cash,New Cairo,Cairo,Older than a week,390000
Renault,Logan,2013.0,Sedan,Automatic,Benzine,300000.0,Black,2.0,Full Leather,Cash,6th of October,Giza,Less than a day,335000
Ford,Focus,2014.0,Sedan,Automatic,Benzine,168000.0,Blue- Navy Blue,5.0,Cloth,Cash or Installment,New Nozha,Cairo,This week,560000
Mercedes-Benz,CLA 200,2025.0,Sports / Coupe,Automatic,Benzine,115500.0,Black,5.0,Full Leather,Cash,Waslet Dahshur,Sheikh Zayed,Less than a day,3250000
Mazda,323,1982.0,Sedan,Manual,Benzine,200000.0,Orange,4.0,Full Leather,Cash,Zawya al-Hamra,Cairo,This week,85000
Chevrolet,Lanos,2017.0,Sedan,Manual,Benzine,60000.0,Black,5.0,Full Leather,Cash,Basateen,Cairo,This week,410000
Nissan,Sunny,2007.0,Sedan,Automatic,Benzine,290000.0,Black,5.0,Full Leather,Cash,Badr City,Cairo,Older than a week,390000
BYD,F3,2011.0,Sedan,Manual,Natural Gas,671.0,White,4.0,Full Leather,Cash,Matareya,Cairo,This week,250000
BMW,X1,2025.0,Other,Automatic,Benzine,115500.0,Silver,5.0,Full Leather,Cash or Installment,New Cairo,Cairo,Older than a week,3275000
Audi,Q4 E-Tron,2024.0,SUV,Automatic,Electric,115500.0,Silver,5.0,Full Leather,Cash or Installment,Nasr City,Cairo,Less than a day,2100000
BMW,740,2012.0,Sedan,Automatic,Benzine,200000.0,Black,5.0,Full Leather,Cash,Gladios Garden Compound,6th of October,Older than a week,1750000
Citroen,C4 Grand Picasso,2019.0,SUV,Automatic,Benzine,103000.0,Blue- Navy Blue,5.0,Full Leather,Cash,6th of October,Giza,Less than a day,1000000
Cupra,Leon,2025.0,Hatchback,Automatic,Benzine,115500.0,Brown,5.0,Full Leather,Cash,New Cairo,Cairo,Less than a day,1795000
Geely,Ck,2006.0,Sedan,Manual,Benzine,42000.0,Gold,4.0,Full Leather,Cash,Khosous,Qalyubia,Less than a day,150000
Land Rover,Velar,2025.0,Estate,Automatic,Benzine,115500.0,Black,5.0,Full Leather,Cash,5th Settlement,New Cairo,This week,5400000
Ford,Escort,1999.0,Sedan,Manual,Benzine,4000.0,Blue- Navy Blue,5.0,Cloth,Cash,Beverly Hills Compound,Sheikh Zayed,This week,170000
Mitsubishi,Eclipse,2019.0,Hatchback,Automatic,Benzine,107.0,Red,5.0,Cloth,Cash,New Cairo,Cairo,Less than a day,1075000
Toyota,Corolla,2025.0,Sedan,Automatic,Benzine,115500.0,Blue- Navy Blue,5.0,Full Leather,Cash,Heliopolis,Cairo,Older than a week,1650000
Changan,Benni mini,2016.0,Hatchback,Automatic,Benzine,155.0,Red,5.0,Full Leather,Cash,Mansura,Dakahlia,This week,295000
Nissan,Tiida,2009.0,Hatchback,Automatic,Benzine,170000.0,Gold,5.0,Full Leather,Cash,Minya City,Minya,Older than a week,440000
Kia,Cerato,2011.0,Sedan,Automatic,Benzine,216000.0,Red,4.0,Other,Cash,Rehab City Compound,New Cairo,This week,570000
Geely,Other,2024.0,SUV,Automatic,Benzine,32000.0,White,5.0,Full Leather,Cash,Heliopolis,Cairo,This week,780000
Mercedes-Benz,CLA 200,2023.0,Sedan,Automatic,Benzine,38000.0,Gray,5.0,Full Leather,Cash or Installment,Smoha,Alexandria,Older than a week,2700000
Renault,Logan,2019.0,Sedan,Manual,Benzine,135000.0,Red,5.0,Cloth,Cash,Heliopolis,Cairo,Older than a week,360000
Lada,2107,2002.0,Sedan,Manual,Benzine,100000.0,Black,5.0,Full Leather,Cash,Damanhour,Beheira,This week,125000
BYD,F3,2014.0,Sedan,Manual,Benzine,315000.0,Gray,4.0,Full Leather,Cash,Hadayeq El Zeitoun,Cairo,Older than a week,310000
Hyundai,Verna,2008.0,Sedan,Manual,Benzine,330000.0,Other Color,5.0,Full Leather,Cash,Abasiya,Cairo,Older than a week,300000
BMW,IX3,2024.0,SUV,Automatic,Electric,115500.0,Blue- Navy Blue,5.0,Full Leather,Cash or Installment,New Cairo,Cairo,Older than a week,3050000
Fiat,Shahin,1996.0,Sedan,Automatic,Benzine,90000.0,Silver,5.0,Full Leather,Cash,Abasiya,Cairo,Older than a week,90000
Seat,Ibiza,2020.0,Hatchback,Automatic,Benzine,127000.0,Red,4.0,Cloth,Cash,New Cairo,Cairo,This week,890000
Daewoo,Matiz,1999.0,Hatchback,Manual,Benzine,113494.0,Silver,4.0,Part Leather,Cash,Zagazig,Sharqia,Less than a day,145000
Land Rover,Range Rover Vogue,2025.0,4X4,Automatic,Benzine,115500.0,Black,4.0,Full Leather,Cash,Rehab City Compound,New Cairo,Older than a week,10000000
Mercedes-Benz,B150,2007.0,Hatchback,Automatic,Benzine,250000.0,Gold,5.0,Part Leather,Cash,New Nozha,Cairo,This week,470000
Hyundai,Verna,2009.0,Sedan,Manual,Benzine,330000.0,Black,5.0,Full Leather,Cash,Boulaq Dakrour,Giza,Older than a week,330000
Mercedes-Benz,C180,2015.0,Sedan,Automatic,Benzine,42000.0,Black,5.0,Full Leather,Cash or Installment,Nasr City,Cairo,Less than a day,2050000
Opel,Astra,2000.0,Sedan,Manual,Benzine,95000.0,Green,5.0,Full Leather,Cash,Heliopolis,Cairo,Older than a week,315000
Chevrolet,Aveo,2015.0,Sedan,Automatic,Benzine,200.0,Gray,5.0,Full Leather,Cash,Hurghada,Red Sea,This week,450000
Mercedes-Benz,E200,2022.0,Sedan,Automatic,Benzine,15000.0,Black,5.0,Full Leather,Cash or Installment,Maadi,Cairo,This week,4150000
Honda,Civic,1993.0,Sedan,Automatic,Benzine,150000.0,Gray,5.0,Full Leather,Cash,Al Waha City,Nasr City,Less than a day,250000
Volkswagen,Passat,2022.0,Sedan,Automatic,Benzine,22000.0,Silver,5.0,Full Leather,Cash or Installment,New Nozha,Cairo,This week,2050000
Fiat,128,1982.0,Sedan,Manual,Benzine,50000.0,Red,5.0,Part Leather,Cash,Masr al-Kadema,Cairo,Less than a day,33000
Chevrolet,Optra,2009.0,Sedan,Automatic,Benzine,240.0,White,5.0,Full Leather,Cash,Salam City,Cairo,This week,350000
Skoda,Kodiaq,2024.0,4X4,Automatic,Benzine,25000.0,Black,7.0,Full Leather,Cash,Haram,Giza,This week,2650000
Volkswagen,Beetle,1971.0,Hatchback,Manual,Benzine,100000.0,Beige,4.0,Full Leather,Cash,5th Settlement,New Cairo,Less than a day,120000
Mercedes-Benz,GLA 200,2020.0,SUV,Automatic,Benzine,74000.0,White,5.0,Full Leather,Cash,5th Settlement,New Cairo,Older than a week,1840000
Mercedes-Benz,C180,2012.0,Sedan,Automatic,Benzine,205000.0,Black,5.0,Full Leather,Cash,5th Settlement,New Cairo,Older than a week,1125000
Nissan,Bluebird,2011.0,Sedan,Automatic,Benzine,150000.0,Silver,5.0,Full Leather,Cash,Faisal District,Suez,Older than a week,480000
Toyota,Corolla,2024.0,Other,Automatic,Benzine,15000.0,Red,5.0,Full Leather,Cash,Shubra,Cairo,Older than a week,1550000
Fiat,128,1975.0,Sedan,Manual,Benzine,120000.0,Green,5.0,Full Leather,Cash,Mansura,Dakahlia,This week,45000
Mercedes-Benz,GLC 200,2025.0,Sports / Coupe,Automatic,Benzine,115500.0,Black,5.0,Full Leather,Cash or Installment,5th Settlement,New Cairo,Less than a day,5500000
Renault,Megane,2005.0,Sedan,Automatic,Benzine,327000.0,Black,4.0,Cloth,Cash,Dokki,Giza,This week,290000
Jeep,Grand Cherokee,2019.0,4X4,Automatic,Benzine,90000.0,Gray,5.0,Full Leather,Cash,6th of October,Giza,Less than a day,2650000
Zotye,Explosion,2007.0,Sedan,Manual,Benzine,90000.0,Black,5.0,Full Leather,Cash,New Cairo,Cairo,Older than a week,255000
Daewoo,Nubira,2005.0,Sedan,Automatic,Benzine,118000.0,Silver,5.0,Velour,Cash,Nasr City,Cairo,Less than a day,325000
Chevrolet,Pickup/Dababa,1987.0,Other,Manual,Diesel,150000.0,White,2.0,Full Leather,Cash,Ezbet El Nakhl,Cairo,Less than a day,120000
Geely,Frota,2005.0,Sedan,Manual,Benzine,55000.0,Red,5.0,Full Leather,Cash,Ard El Lewa,Giza,Less than a day,120000
Skoda,Octavia,2025.0,Sedan,Automatic,Benzine,115500.0,Black,5.0,Velour,Cash or Installment,Almazah,Cairo,Older than a week,1975000
Toyota,Corolla,2024.0,Sedan,Automatic,Benzine,60000.0,Silver,5.0,Cloth,Cash,5th Settlement,New Cairo,Less than a day,1380000
MG,HS,2025.0,SUV,Automatic,Benzine,115500.0,White,5.0,Full Leather,Cash or Installment,Nasr City,Cairo,This week,1575000
Mercedes-Benz,C180,2022.0,Sedan,Automatic,Benzine,20000.0,Black,5.0,Other,Cash,Beni Suef City,Beni Suef,This week,3120000
Daewoo,Lanos,2007.0,Sedan,Manual,Benzine,290000.0,Gray,5.0,Part Leather,Cash,New Maadi,Maadi,Less than a day,300000
Honda,Civic,2004.0,Sedan,Automatic,Benzine,110000.0,Green,5.0,Cloth,Cash,9th District,Sheikh Zayed,This week,520000
Maserati,Other,2022.0,SUV,Automatic,Benzine,20000.0,Gray,5.0,Full Leather,Cash or Installment,Nasr City,Cairo,Older than a week,5100000
BYD,F3,2023.0,Sedan,Automatic,Benzine,36.0,Red,5.0,Full Leather,Cash,New Nozha,Cairo,Older than a week,490000
Nissan,Sentra,2018.0,Sedan,Automatic,Benzine,140261.0,Gray,5.0,Full Leather,Cash,Ramses + Ramses Extension,Cairo,Older than a week,650000
Mitsubishi,Pickup,1900.0,Pickup,Automatic,Benzine,20000.0,White,5.0,Full Leather,Cash,Awayed,Alexandria,Older than a week,150000
Proton,Saga,2025.0,Sedan,Automatic,Benzine,115500.0,Black,5.0,Full Leather,Cash or Installment,Nasr City,Cairo,Less than a day,670000
Mercedes-Benz,C200,2022.0,Sedan,Automatic,Benzine,15000.0,Silver,5.0,Full Leather,Cash or Installment,Zayed Heights,Sheikh Zayed,Less than a day,3350000
Skoda,Octavia,2005.0,Sedan,Manual,Benzine,226000.0,Black,5.0,Full Leather,Cash,3rd Settlement,New Cairo,This week,430000
Cupra,Terramar,2025.0,SUV,Automatic,Benzine,115500.0,Blue- Navy Blue,5.0,Full Leather,Cash,Sheikh Zayed,Giza,Less than a day,2400000
Hyundai,Verna,2004.0,Sedan,Manual,Benzine,120000.0,White,5.0,Full Leather,Cash,Ain Sukhna,Suez,This week,250000
Geely,Ck,2009.0,Hatchback,Manual,Benzine,190000.0,White,5.0,Full Leather,Cash,Seyouf,Alexandria,This week,115000
BMW,318,1994.0,Sedan,Automatic,Benzine,260000.0,Other Color,3.0,Full Leather,Cash,1st District,6th of October,This week,330000
Peugeot,301,2014.0,Sedan,Automatic,Benzine,196000.0,Silver,5.0,Full Leather,Cash,Nasr City,Cairo,Less than a day,430000
Audi,A3,2024.0,Sedan,Automatic,Benzine,9000.0,Black,5.0,Full Leather,Cash,Shatby,Alexandria,This week,2150000
MG,RX5,2025.0,SUV,Automatic,Benzine,115500.0,Blue- Navy Blue,5.0,Full Leather,Cash or Installment,Nasr City,Cairo,This week,1490000
Land Rover,Velar,2025.0,SUV,Automatic,Benzine,115500.0,Black,5.0,Full Leather,Cash or Installment,New Cairo,Cairo,Older than a week,6200000
Hyundai,Tucson,2019.0,SUV,Automatic,Benzine,59000.0,Black,5.0,Full Leather,Cash or Installment,New Nozha,Cairo,This week,1300000
Toyota,C-HR,2017.0,SUV,Automatic,Benzine,73000.0,Black,5.0,Full Leather,Cash,Ismailia City,Ismailia,Less than a day,1000000
Mercedes-Benz,E200,1999.0,Sedan,Automatic,Benzine,240.0,Green,5.0,Full Leather,Cash,Eclat,Sharq District,This week,650000
Suzuki,Baleno,2022.0,Hatchback,Automatic,Benzine,82000.0,Black,5.0,Cloth,Cash,Laurent,Alexandria,This week,750000
Daewoo,Nubira,2003.0,Sedan,Manual,Benzine,300000.0,Gold,5.0,Full Leather,Cash,6th of October,Giza,Older than a week,265000
Seat,Leon,2025.0,Hatchback,Automatic,Benzine,115500.0,Blue- Navy Blue,5.0,Cloth,Cash,New Cairo,Cairo,Less than a day,1475000
Mercedes-Benz,C180,2023.0,Sedan,Automatic,Benzine,7000.0,Black,5.0,Full Leather,Cash,New Cairo,Cairo,This week,3250000
BMW,X5,2023.0,SUV,Automatic,Benzine,40000.0,Black,5.0,Full Leather,Cash or Installment,New Cairo,Cairo,This week,5100000
Isuzu,D-Max,2023.0,Pickup,Automatic,Diesel,15000.0,Gray,5.0,Full Leather,Cash,Tanta,Gharbia,Less than a day,1650000
Mercedes-Benz,E200,2006.0,Sedan,Automatic,Benzine,215000.0,Black,5.0,Full Leather,Cash,Beni Suef City,Beni Suef,This week,1100000
Mercedes-Benz,EQE 500,2024.0,SUV,Automatic,Electric,14000.0,Black,5.0,Full Leather,Cash,1st Settlement,New Cairo,Older than a week,4500000
Kia,Xceed,2025.0,Hatchback,Automatic,Benzine,115500.0,White,5.0,Cloth,Cash or Installment,Heliopolis,Cairo,This week,1500000
Daihatsu,Materia,2007.0,Hatchback,Automatic,Benzine,278000.0,Blue- Navy Blue,5.0,Full Leather,Cash,Heliopolis,Cairo,This week,530000
Saipa,Pride,2014.0,Small city car,Manual,Benzine,200000.0,Brown,4.0,Full Leather,Cash,Degla Gardens,Hadayek October,Less than a day,200000
Daewoo,Lanos,2000.0,Sedan,Manual,Benzine,190000.0,Green,5.0,Full Leather,Cash,Sheikh Zayed,Giza,Older than a week,225000
Hyundai,Verna,2010.0,Sedan,Manual,Benzine,140000.0,Blue- Navy Blue,5.0,Cloth,Cash,Golden Gates,Mokattam,Less than a day,360000
Suzuki,Maruti,2009.0,Sedan,Manual,Benzine,77000.0,Black,5.0,Full Leather,Cash,Nasr City,Cairo,This week,135000
Mitsubishi,Lancer,2018.0,Sedan,Automatic,Benzine,123000.0,Silver,5.0,Full Leather,Cash,Dokki,Giza,Older than a week,700000
Chevrolet,N300,2020.0,Hatchback,Manual,Benzine,92000.0,Silver,7.0,Full Leather,Cash,New Obour City,Obour City,Less than a day,480000
BMW,320,2018.0,Sedan,Automatic,Benzine,157000.0,Gray,4.0,Full Leather,Cash or Installment,Sheraton,Cairo,Less than a day,1575000
Fiat,Grand Punto,2018.0,Hatchback,Manual,Benzine,141000.0,Gray,5.0,Cloth,Cash,Heliopolis,Cairo,This week,480000
Peugeot,5008,2020.0,Estate,Automatic,Benzine,113000.0,Silver,7.0,Full Leather,Cash or Installment,Heliopolis,Cairo,Less than a day,1320000
Toyota,Auris,2015.0,Hatchback,Automatic,Benzine,118000.0,Silver,4.0,Full Leather,Cash,Nasr City,Cairo,Older than a week,750000
Speranza,A620,2007.0,Other,Automatic,Natural Gas,2000.0,Burgundy,4.0,Other,Cash,Al Amiriyyah,Cairo,This week,220000
BMW,X6,2024.0,Sports / Coupe,Automatic,Benzine,44000.0,Gray,5.0,Full Leather,Cash or Installment,5th Settlement,New Cairo,Older than a week,7500000
Skoda,Octavia,2019.0,Sedan,Automatic,Benzine,150000.0,Silver,5.0,Full Leather,Cash,Kilo 21,Agami,Older than a week,1320000
Opel,Vectra,1996.0,Sedan,Manual,Benzine,300000.0,White,4.0,Cloth,Cash,Sadat,Monufia,This week,140000
BYD,Leopard 5,2025.0,SUV,Automatic,Hybrid,115500.0,Gray,5.0,Full Leather,Cash or Installment,New Cairo,Cairo,Older than a week,3225000
Changan,EADO,2022.0,Sedan,Automatic,Benzine,52000.0,Black,5.0,Part Leather,Cash,Hadayek al-Kobba,Cairo,This week,650000
MG,ZS,2019.0,SUV,Automatic,Benzine,105000.0,Burgundy,5.0,Full Leather,Exchange,New Cairo,Cairo,This week,775000
Toyota,Corolla,1991.0,Sedan,Automatic,Benzine,300000.0,White,5.0,Full Leather,Cash,Helwan,Cairo,This week,170000
Hyundai,Tucson,2017.0,Hatchback,Automatic,Benzine,99000.0,Silver,5.0,Full Leather,Cash,Mansura,Dakahlia,This week,1100000
Mercedes-Benz,G63,2023.0,SUV,Automatic,Benzine,31000.0,Black,5.0,Full Leather,Cash,Madinaty,Cairo,Older than a week,14000000
Dodge,Dart,2013.0,Sedan,Automatic,Benzine,157000.0,Silver,5.0,Velour,Cash,Minya al-Qamh,Sharqia,Older than a week,700000
Hyundai,Verna,2008.0,Sedan,Manual,Benzine,180000.0,Silver,5.0,Full Leather,Cash,Markaz Badr,Beheira,Older than a week,310000
Chevrolet,Lanos,2014.0,Sedan,Manual,Benzine,215000.0,Silver,5.0,Full Leather,Cash,Lake house,Obour City,Less than a day,325000
Fiat,Tipo,2024.0,Sedan,Manual,Benzine,115500.0,Gray,5.0,Cloth,Cash or Installment,Nasr City,Cairo,Less than a day,795000
Hyundai,Verna,2025.0,Sedan,Automatic,Benzine,1400.0,Black,5.0,Full Leather,Cash,Abasiya,Cairo,Older than a week,250000
BYD,F3,2025.0,Sedan,Manual,Benzine,115500.0,Burgundy,5.0,Part Leather,Cash or Installment,Nasr City,Cairo,Older than a week,650000
Hyundai,Excel,1997.0,Sedan,Manual,Benzine,150000.0,Black,5.0,Full Leather,Cash,Maadi,Cairo,Older than a week,115000
Renault,9,1997.0,Sedan,Manual,Benzine,200000.0,Blue- Navy Blue,5.0,Full Leather,Cash,Salam City,Cairo,Older than a week,110000
Porsche,Boxster,2019.0,Convertible,Automatic,Benzine,1.0,Silver,2.0,Full Leather,Installments,New Cairo,Cairo,Older than a week,3950000
Mercedes-Benz,G63,2020.0,SUV,Automatic,Benzine,50000.0,White,5.0,Full Leather,Cash,Sheikh Zayed,Giza,This week,11800000
Porsche,Macan,2024.0,SUV,Automatic,Benzine,36000.0,Gray,5.0,Full Leather,Cash,6th of October,Giza,This week,4650000
Volkswagen,Polo,2000.0,Hatchback,Manual,Diesel,215.0,Red,4.0,Cloth,Cash,Al Ibrahimiyyah,Alexandria,This week,275000
Geely,Pandido,2015.0,Hatchback,Automatic,Benzine,77000.0,Silver,4.0,Full Leather,Cash,Seyouf,Alexandria,Older than a week,307000
Kia,Picanto,2011.0,Hatchback,Automatic,Benzine,194000.0,Red,5.0,Full Leather,Cash,Obour City,Cairo,Older than a week,385000
Mercedes-Benz,S320,2001.0,Sedan,Automatic,Benzine,277000.0,Gray,5.0,Full Leather,Cash,6th of October,Giza,Older than a week,700000
Proton,Saga,2022.0,Sedan,Automatic,Benzine,115500.0,Silver,4.0,Full Leather,Cash,Gesr Al Suez,Cairo,This week,525000
Kia,Rio,2013.0,Hatchback,Automatic,Benzine,320000.0,Silver,5.0,Full Leather,Cash,1st Settlement,New Cairo,Older than a week,475000
