brand,model,year,body_type,transmission,fuel_type,kilometers,color,seats,interior,payment_option,area,city,date_posted_category,price
Mercedes-Benz,200,1980.0,Sedan,Automatic,Benzine,200000.0,White,4.0,Full Leather,Cash,Abasiya,Cairo,Older than a week,180000
Nissan,Sunny,2023.0,Sedan,Automatic,Benzine,55000.0,Black,5.0,Velour,Cash,Madinaty,Cairo,This week,600000
Mercedes-Benz,C200,2019.0,Sedan,Automatic,Benzine,120000.0,White,5.0,Full Leather,Cash,El Shorouk 2000,Shorouk City,Older than a week,2600000
Daewoo,Juliet,1999.0,Hatchback,Manual,Benzine,218000.0,Beige,5.0,Full Leather,Cash,Shubra,Cairo,Older than a week,240000
Mercedes-Benz,GLC 200,2022.0,SUV,Automatic,Benzine,8000.0,Black,5.0,Full Leather,Cash,Shatby,Alexandria,Less than a day,3750000
Volkswagen,Passat,2008.0,Sedan,Automatic,Benzine,260000.0,Silver,5.0,Full Leather,Cash,Smoha,Alexandria,This week,780000
Jeep,Cherokee,2011.0,4X4,Automatic,Benzine,155.0,Black,4.0,Full Leather,Cash,Haram,Giza,Older than a week,900000
Peugeot,RCZ,2012.0,Sports / Coupe,Automatic,Benzine,95000.0,Silver,5.0,Full Leather,Cash,Palm Hills,6th of October,Older than a week,850000
Zeekr,X,2025.0,Other,Automatic,Electric,115500.0,White,5.0,Full Leather,Cash or Installment,New Cairo,Cairo,This week,2100000
Audi,Q8,2025.0,SUV,Automatic,Benzine,115500.0,Gray,5.0,Full Leather,Cash or Installment,New Cairo,Cairo,This week,7600000
BMW,318,2019.0,Sedan,Automatic,Benzine,79000.0,Blue- Navy Blue,5.0,Full Leather,Cash,VIVENS,Shorouk City,This week,1625000
Mitsubishi,Eclipse,2019.0,Other,Automatic,Benzine,77000.0,Brown,5.0,Full Leather,Cash,Beverly Hills Compound,Sheikh Zayed,Less than a day,1150000
Daewoo,Espero,1995.0,Sedan,Automatic,Benzine,300000.0,Blue- Navy Blue,5.0,Full Leather,Cash,Maadi,Cairo,Less than a day,140000
Renault,Logan,2018.0,Sedan,Automatic,Benzine,165000.0,Black,5.0,Full Leather,Cash,6th of October,Giza,Older than a week,350000
Fiat,131,1980.0,Sedan,Manual,Benzine,1.0,White,5.0,Full Leather,Cash,6th of October,Giza,Older than a week,58000
Senova,X25,2017.0,Hatchback,Automatic,Benzine,120000.0,White,5.0,Full Leather,Cash,Madinaty,Cairo,Less than a day,500000
Volkswagen,Tiguan,2025.0,Estate,Automatic,Benzine,7000.0,Black,5.0,Full Leather,Cash,Fareskour,Damietta,Older than a week,2400000
Ford,Focus,2014.0,Sedan,Automatic,Benzine,230000.0,Gray,5.0,Full Leather,Cash,Rehab City Compound,New Cairo,This week,470000
Kia,Cerato,2015.0,Sedan,Automatic,Benzine,80000.0,White,4.0,Other,Cash,Tanta,Gharbia,Older than a week,875000
Citroen,C3 Aircross,2019.0,Hatchback,Automatic,Benzine,51000.0,Black,5.0,Full Leather,Cash,Zahraa Al Maadi,Cairo,This week,785000
BMW,X2,2022.0,Other,Automatic,Benzine,70000.0,Blue- Navy Blue,4.0,Full Leather,Cash,Sheraton,Cairo,Older than a week,1950000
Skoda,Felicia Combi,1997.0,Hatchback,Manual,Benzine,400000.0,Blue- Navy Blue,5.0,Full Leather,Cash,Sinbillawain,Dakahlia,Older than a week,155000
Jeep,Wrangler,2015.0,4X4,Automatic,Benzine,137000.0,Burgundy,5.0,Full Leather,Cash,Rehab City Compound,New Cairo,This week,1650000
Slingshot,Polaris,2023.0,Convertible,Automatic,Benzine,39000.0,White,2.0,Full Leather,Cash,Shorouk City,Cairo,This week,1800000
MG,MG 5,2026.0,Sedan,Automatic,Benzine,115500.0,Silver,5.0,Full Leather,Installments,Sheikh Zayed,Giza,This week,980000
Fiat,Ritmo,1981.0,Hatchback,Manual,Benzine,500000.0,Red,5.0,Full Leather,Cash,6th District,6th of October,Less than a day,70000
Mercedes-Benz,GLC 300,2025.0,SUV,Automatic,Benzine,115500.0,White,5.0,Full Leather,Cash or Installment,Sheikh Zayed,Giza,Older than a week,6000000
Peugeot,5008,2023.0,SUV,Automatic,Benzine,11000.0,Silver,7.0,Full Leather,Cash,Zagazig,Sharqia,This week,2050000
Volkswagen,Tiguan,2018.0,SUV,Automatic,Benzine,145000.0,Blue- Navy Blue,5.0,Full Leather,Cash,New Cairo,Cairo,Less than a day,1550000
Subaru,Impreza,2007.0,Sedan,Manual,Benzine,315000.0,Silver,5.0,Full Leather,Cash,Al Lotus,6th of October,Older than a week,370000
Jac,S4,2025.0,SUV,Automatic,Benzine,115500.0,Burgundy,5.0,Full Leather,Cash or Installment,New Cairo,Cairo,This week,998000
Renault,Fluence,2015.0,Sedan,Automatic,Benzine,200000.0,Gray,5.0,Part Leather,Cash,Tanta,Gharbia,Less than a day,510000
Daihatsu,Sirion,1999.0,Hatchback,Automatic,Benzine,180000.0,Green,5.0,Velour,Cash,Agouza,Giza,This week,270000
Peugeot,307,2007.0,Hatchback,Automatic,Benzine,237000.0,Black,4.0,Full Leather,Cash,Kilo 21,Agami,Less than a day,360000
Chevrolet,Lanos,2009.0,Sedan,Manual,Benzine,147000.0,Black,5.0,Full Leather,Cash,Damietta City,Damietta,This week,270000
Mitsubishi,Lancer,2015.0,Sedan,Automatic,Benzine,160000.0,Silver,5.0,Full Leather,Cash,Zahraa Al Maadi,Cairo,This week,600000
Fiat,127,1983.0,Hatchback,Manual,Benzine,120000.0,White,4.0,Full Leather,Cash,Zawya al-Hamra,Cairo,Less than a day,25000
Mercedes-Benz,E200,2021.0,Sedan,Automatic,Benzine,13000.0,Silver,5.0,Full Leather,Cash or Installment,Heliopolis,Cairo,Older than a week,4100000
Suzuki,Vitara,1999.0,SUV,Automatic,Benzine,200000.0,Green,5.0,Full Leather,Cash,Nasr City,Cairo,Older than a week,450000
Mercedes-Benz,C180,2020.0,Sedan,Automatic,Benzine,74000.0,Gray,5.0,Full Leather,Cash,Sheikh Zayed,Giza,Older than a week,2450000
Mercedes-Benz,EQS 450+,2022.0,Sedan,Automatic,Electric,11000.0,White,5.0,Full Leather,Cash,New Cairo,Cairo,Older than a week,4900000
Mercedes-Benz,C200,2020.0,Sedan,Automatic,Benzine,40000.0,White,5.0,Full Leather,Cash,Aljar,Shorouk City,This week,2700000
Fiat,Uno,1997.0,Hatchback,Manual,Benzine,185000.0,Burgundy,5.0,Other,Cash,Nasr City,Cairo,Less than a day,150000
Audi,Q7,2024.0,SUV,Automatic,Benzine,115500.0,Gray,7.0,Full Leather,Cash or Installment,New Cairo,Cairo,This week,5300000
Daewoo,Lanos,2005.0,Sedan,Manual,Benzine,120000.0,Silver,5.0,Full Leather,Cash,Maadi,Cairo,This week,300000
Ford,Fiesta,2019.0,Hatchback,Automatic,Benzine,90000.0,Blue- Navy Blue,5.0,Full Leather,Cash or Installment,Heliopolis,Cairo,Older than a week,590000
Hyundai,Matrix,2001.0,Hatchback,Automatic,Benzine,106.0,Silver,5.0,Cloth,Cash,Seyouf,Alexandria,This week,450000
Hyundai,Matrix,2004.0,Hatchback,Automatic,Benzine,300000.0,Silver,5.0,Cloth,Cash,Kafr al-Sheikh City,Kafr al-Sheikh,Older than a week,450000
Mercedes-Benz,C200,2022.0,Sedan,Automatic,Benzine,39000.0,White,5.0,Full Leather,Cash,Heliopolis,Cairo,Older than a week,3450000
Opel,Vectra,1994.0,Sedan,Automatic,Benzine,99999.0,Red,4.0,Full Leather,Cash,Ras al-Bar,Damietta,This week,175000
